domain,trust_score,category,bias,dataset_origin
timesofindia.indiatimes.com,72,reliable,center,india_manual
ndtv.com,78,reliable,center-left,india_manual
thehindu.com,82,reliable,center-left,india_manual
hindustantimes.com,74,reliable,center,india_manual
indiatoday.in,75,reliable,center,india_manual
indianexpress.com,80,reliable,center,india_manual
livemint.com,78,reliable,center-right,india_manual
economictimes.indiatimes.com,76,reliable,center,india_manual
deccanherald.com,74,reliable,center,india_manual
scroll.in,72,reliable,center-left,india_manual
thewire.in,68,reliable,center-left,india_manual
newslaundry.com,70,reliable,center-left,india_manual
theprint.in,72,reliable,center,india_manual
firstpost.com,68,reliable,center-right,india_manual
news18.com,65,reliable,center-right,india_manual
abplive.com,62,reliable,center,india_manual
zeenews.india.com,58,bias,right,india_manual
republicworld.com,52,bias,right,india_manual
opindia.com,35,bias,right,india_manual
swarajyamag.com,48,bias,right,india_manual
thequint.com,70,reliable,center-left,india_manual
outlookindia.com,68,reliable,center-left,india_manual
business-standard.com,76,reliable,center,india_manual
moneycontrol.com,74,reliable,center,india_manual
telegraphindia.com,70,reliable,center-left,india_manual
newindianexpress.com,68,reliable,center,india_manual
tribuneindia.com,72,reliable,center,india_manual
dnaindia.com,58,bias,center-right,india_manual
freepressjournal.in,60,reliable,center,india_manual
mid-day.com,62,reliable,center,india_manual
thestatesman.com,65,reliable,center,india_manual
asianage.com,60,reliable,center,india_manual
dailypioneer.com,55,bias,right,india_manual
organiser.org,40,bias,right,india_manual
postcard.news,25,fake,right,india_manual
tfipost.com,30,bias,right,india_manual
kreately.in,32,bias,right,india_manual
altnews.in,75,reliable,center,india_manual
boomlive.in,76,reliable,center,india_manual
factly.in,74,reliable,center,india_manual
theleaflet.in,65,reliable,center-left,india_manual
caravanmagazine.in,72,reliable,center-left,india_manual
frontline.thehindu.com,78,reliable,center-left,india_manual
downtoearth.org.in,74,reliable,center,india_manual
indiaspend.com,76,reliable,center,india_manual
healthcheck.in,70,reliable,center,india_manual
smhoaxslayer.com,72,reliable,center,india_manual
vishvasnews.com,70,reliable,center,india_manual
newschecker.in,68,reliable,center,india_manual
bbc.com/hindi,80,reliable,center,india_manual
